gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
SELENON,0.8816209542775126,-0.12599307240234922,0.42540188313107274,0.6467474320358522,1.2017914080841763,256,age+stage+tumor_fraction,zscore
ADGB,0.731982048157723,-0.3119992896962483,0.03501845223681046,0.5476777415068117,0.9783083704498353,256,age+stage+tumor_fraction,zscore
CETN1,0.7354712622335488,-0.3072438121260875,0.06805645715488591,0.5287309456479065,1.023049590767888,256,age+stage+tumor_fraction,zscore
FHIP1A,0.7774394655586498,-0.2517494957622035,0.15492041620060532,0.5495526742462384,1.0998256417132815,256,age+stage+tumor_fraction,zscore
GATD1,0.7383267749607607,-0.30336876788211786,0.0381796115798594,0.5542128716290813,0.9836047745004293,256,age+stage+tumor_fraction,zscore
HS3ST1,0.6987389151846245,-0.35847811841737187,0.013546236072648371,0.525692053987547,0.9287491943048307,256,age+stage+tumor_fraction,zscore
ZNF345,0.7280718558634394,-0.3173555325471625,0.037566635917657146,0.5398515914827199,0.9819154665165053,256,age+stage+tumor_fraction,zscore
TTC24,0.8487868932776969,-0.16394713327460883,0.2859350639599368,0.6280865134321876,1.1470381464858308,256,age+stage+tumor_fraction,zscore
OLFML1,0.7418349543343641,-0.298628494068398,0.057053225772546776,0.5454131087315827,1.0089949996839913,256,age+stage+tumor_fraction,zscore
GPRC5C,0.7075788863756444,-0.345906155502838,0.011356575828538848,0.5413366645029865,0.9248733981546798,256,age+stage+tumor_fraction,zscore
P4HA3,0.6766141223999234,-0.3906541502551864,0.014138844284533677,0.49524712945532395,0.9244004526275946,256,age+stage+tumor_fraction,zscore
SPINK14,0.7404152060773185,-0.3005441608419896,0.03892670352777052,0.5566566925940449,0.9848344314981883,256,age+stage+tumor_fraction,zscore
GJA10,0.7070819051191186,-0.34660877097074233,0.025443911322271934,0.5217225450557558,0.9582963689894822,256,age+stage+tumor_fraction,zscore
FBLL1,0.8334417666076618,-0.1821914453296241,0.2603909342229813,0.6068511634387647,1.1446384553173763,256,age+stage+tumor_fraction,zscore
MB21D2,0.7463746906436937,-0.2925275385934539,0.06029888035553935,0.5500619174700839,1.0127499489432785,256,age+stage+tumor_fraction,zscore
LINGO3,0.8108278601194061,-0.2096995037225426,0.18820153826693595,0.5933139365967306,1.1080842336469026,256,age+stage+tumor_fraction,zscore
VTCN1,0.8356486410415952,-0.17954704007769384,0.264283308542016,0.6097031199408025,1.1453256977633068,256,age+stage+tumor_fraction,zscore
RGS13,0.7717942563153664,-0.25903727184027425,0.1060861821078488,0.563716926704542,1.0566764023986688,256,age+stage+tumor_fraction,zscore
