gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_transform,q_value
CBX7,0.15082114745786154,-1.8916605981086003,0.051517834002009814,0.02246540244686013,1.0125355454598255,260,age+stage_num,log1p,0.11714204748885923
HUNK,0.09520106845350676,-2.3517641139966763,0.014387732588558674,0.014478173065241611,0.6259935831577957,260,age+stage_num,log1p,0.08094766162165955
MAPK14,0.3310415025916487,-1.1055115259919166,0.11330556298535273,0.08426053131679825,1.3005908546447642,260,age+stage_num,log1p,0.18550157827994604
ADAMTS19,0.6241712143301995,-0.47133056630912723,0.26288063564050856,0.27350583444428683,1.4244292286854137,260,age+stage_num,log1p,0.3358948480619615
GGCX,0.15884814293440655,-1.8398066090217187,0.010885567770036724,0.03854484355880928,0.6546331541133679,260,age+stage_num,log1p,0.08094766162165955
HHIPL2,0.20239454407499582,-1.5975362980833565,0.11506546164044396,0.027750527239070007,1.4761359709826627,260,age+stage_num,log1p,0.18719845344258718
HS6ST3,0.09769303465402435,-2.3259250156783167,0.007920676512523917,0.0175503601396077,0.5438024601200997,260,age+stage_num,log1p,0.08094766162165955
TG,0.11515587334362054,-2.1614686479925798,0.021451234990006056,0.018253022184329632,0.7265029884703992,260,age+stage_num,log1p,0.08462317304825867
KDM3A,0.1714988693475957,-1.763178605123264,0.08742741123104515,0.022705981652738485,1.295335415897178,260,age+stage_num,log1p,0.15773082021265453
TNFAIP6,0.28853605825308876,-1.242935215564655,0.10813989134100908,0.06333998930914314,1.3143838169264146,260,age+stage_num,log1p,0.18006200314962031
TCF4,0.41284534469620243,-0.8846822241997081,0.13163260047205413,0.13071369093717985,1.3039282833749923,260,age+stage_num,log1p,0.20418952893912717
TRIM60,0.133620388035168,-2.0127524244689057,0.030673551308237203,0.021536160568726904,0.8290432290236366,260,age+stage_num,log1p,0.0929887173482602
NRDC,0.31359920074549635,-1.1596395391523198,0.3031813168770605,0.03449042018625589,2.8513557729112122,260,age+stage_num,log1p,0.3746486150097178
KCNIP1,0.07959884038881361,-2.530755754217642,0.01675893135074035,0.010007169426978837,0.6331436114354524,260,age+stage_num,log1p,0.08099112824897532
CSTF2T,0.0677764207694236,-2.691540920786165,0.020245965856068967,0.006987269974059902,0.6574303310688958,260,age+stage_num,log1p,0.08390449096707793
SHISA7,0.0683593774765217,-2.68297652732212,0.020208633800350935,0.007103306884874364,0.6578632409826166,260,age+stage_num,log1p,0.08390124471009092
EBF4,0.397992470111751,-0.9213221931938804,0.17715348380885626,0.10441878528226382,1.516949328968663,260,age+stage_num,log1p,0.25097661052970033
C7orf50,0.19829917525779164,-1.6179784025281136,0.05747207589799943,0.03735528327128684,1.0526640267280658,260,age+stage_num,log1p,0.12443336743025774
SMAGP,0.22893263195890923,-1.4743275022939262,0.06867412107047066,0.046815109004315375,1.1195135735089772,260,age+stage_num,log1p,0.13679812902429758
IER2,0.10796915035352742,-2.225909737536931,0.020414244041435648,0.016449119352163047,0.7086906708187801,260,age+stage_num,log1p,0.08412341541268917
EIF3K,0.017273947030983092,-4.058555864530094,0.0017748389810615262,0.0013554764707682412,0.22013605729363356,260,age+stage_num,log1p,0.08094766162165955
C17orf100,0.44423530839499087,-0.8114008830738692,0.2292413898601081,0.11834957032635558,1.667475502281949,260,age+stage_num,log1p,0.3024232206028196
TANC2,0.8408781636167397,-0.17330850035209358,0.6294279795394464,0.41592166282158605,1.7000222620065073,260,age+stage_num,log1p,0.6772670353475722
ZFAND2A,0.3748185207159004,-0.9813133149083835,0.18245039851106654,0.08857464852181995,1.58610760320485,260,age+stage_num,log1p,0.25646188082588456
FATE1,0.3259766017264621,-1.1209296740365033,0.06512536733126856,0.09905348722218175,1.0727612712390886,260,age+stage_num,log1p,0.13304251665269007
RPIA,0.9062716571742853,-0.09841617552716976,0.764437555223461,0.47610231175547413,1.7251088606754321,260,age+stage_num,log1p,0.7960417574837275
SH3PXD2A,0.20732726402736812,-1.5734567485194317,0.0833183734830851,0.03493490154772744,1.2304197952397042,260,age+stage_num,log1p,0.15321847938210845
TLL1,0.5813066305613755,-0.5424768979036635,0.3894353576228683,0.16899689644897065,1.9995479552291975,260,age+stage_num,log1p,0.45786189170531844
DENND4A,0.10212436539767018,-2.2815639397975787,0.02738043044481853,0.013452136403794997,0.775295885710363,260,age+stage_num,log1p,0.0895890304291347
ALDH7A1,0.3020642197644328,-1.197115635987098,0.061943834485817355,0.08594539265607619,1.0616368142852957,260,age+stage_num,log1p,0.12936415090281325
PLXNB1,0.04627356680280033,-3.0731843923085105,0.006940820297326086,0.004970076759902942,0.43082694455106135,260,age+stage_num,log1p,0.08094766162165955
GPER1,0.15264467194464076,-1.8796424641467853,0.034247128832094687,0.02678984043754526,0.8697474674179883,260,age+stage_num,log1p,0.09707079073704791
TGM5,0.7223211596641456,-0.3252854195127414,0.38261205837612433,0.348017567347969,1.4991997722255235,260,age+stage_num,log1p,0.4516645194553989
KICS2,0.12691282702285536,-2.064254829599677,0.053852095525640895,0.015565379879389265,1.0347878296411477,260,age+stage_num,log1p,0.11978128321746472
MAST1,0.4407751990151238,-0.8192202863035921,0.16458414467371607,0.13882934251348764,1.3994359733278063,260,age+stage_num,log1p,0.23792594299782419
NEBL,0.33274363269925367,-1.10038295727917,0.1509239458323945,0.07412646419791798,1.4936409863861504,260,age+stage_num,log1p,0.22410018533814563
DUSP7,0.08972019786446774,-2.4110593639773703,0.013073671910830734,0.013364001152404317,0.6023431016683966,260,age+stage_num,log1p,0.08094766162165955
TMEM39B,0.14334497708457344,-1.9425011267882928,0.028471290061352777,0.025213302812139002,0.8149579850159144,260,age+stage_num,log1p,0.09054295545928269
PTRH1,0.1844402530282108,-1.6904296997718191,0.030685933987334386,0.03981491240889445,0.854408684558877,260,age+stage_num,log1p,0.0929887173482602
SOX14,0.18469244482223582,-1.6890632977449513,0.050959831698720794,0.03387167785883315,1.0070743857620557,260,age+stage_num,log1p,0.11660994113157175
CHD8,0.4102374079330817,-0.8910192431256977,0.12350003304541653,0.13201487576251433,1.274816416677196,260,age+stage_num,log1p,0.19565499983166407
CHCHD3,0.07995819703490281,-2.526251317942039,0.011976169097800218,0.011146036008755581,0.5735952466015883,260,age+stage_num,log1p,0.08094766162165955
LYSMD1,0.11276494485626716,-2.182449760768798,0.018701515881548766,0.018286960896727354,0.6953551691966826,260,age+stage_num,log1p,0.0817451686519471
RDH8,0.07514056742772281,-2.588394687258189,0.008538264225191702,0.010917956054799277,0.5171393661067415,260,age+stage_num,log1p,0.08094766162165955
UBXN7,0.24473357109582228,-1.4075851250714133,0.07585116933748193,0.051736074773030924,1.1576935645789619,260,age+stage_num,log1p,0.1451709379112761
C17orf97,0.3338324865296697,-1.0971159491536728,0.11687129953162974,0.08471616577580214,1.3155001532707986,260,age+stage_num,log1p,0.18903131074906576
KRT16,0.39481365718461675,-0.9293413793549204,0.25402727847720585,0.07995783930877126,1.9495002021945902,260,age+stage_num,log1p,0.3273655976380613
EXOC6,0.09909204675274853,-2.311706095632184,0.04174367041955153,0.010705400458555227,0.9172224586705536,260,age+stage_num,log1p,0.10625859635530745
GRWD1,0.19219443983756362,-1.6492477119093323,0.0699568588259323,0.032290491584476326,1.1439498407089332,260,age+stage_num,log1p,0.13816605894040088
PPFIA2,0.644927799113973,-0.43861690781022344,0.23700425312844756,0.3117328940942711,1.3342572245334214,260,age+stage_num,log1p,0.310136043101265
NUDCD3,0.18312625620252165,-1.6975794394253418,0.03176853418501108,0.03888877056076359,0.8623369992721394,260,age+stage_num,log1p,0.09426620722357658
