gene,spearman_r,p_value,n_samples
NPAS1,0.021177159105792983,0.7314871268011309,265
SIPA1L2,0.04729207631609599,0.44329024519236815,265
AP4E1,-0.03886848153482889,0.5287076276990681,265
BLVRA,-0.024941256540300622,0.6860966894833238,265
PDZD4,-0.06536645063413267,0.2890569104961103,265
SRPK3,-0.021415760450793467,0.728579977076306,265
IDH3G,-0.08875228435243013,0.1496419325052179,265
PNCK,-0.09880675157020054,0.10854156093538168,265
SSR4,-0.01906263529428869,0.7574140713569996,265
BCAP31,-0.07686703546315601,0.21231114184958905,265
FAM98A,-0.037735770014576585,0.5407972788039679,265
LTBP2,-0.13118172974426626,0.03279191493547643,265
KMT2A,-0.05265480276210687,0.39327207943400244,265
IFT46,0.011082710041022494,0.8574932173989492,265
TMEM25,0.032519428718066005,0.5981832696309082,265
CD3G,0.040945280539083105,0.5069025981355699,265
TRAPPC6A,-0.021557953955043754,0.7268493139424412,265
SUPT6H,0.006566051067013327,0.9152781398545549,265
SPAG5,0.059506208140370775,0.33456132759664114,265
FOXN1,0.003588693202507284,0.9536341535518796,265
UNC119,-0.09934747380745164,0.10661229827262636,265
RAB34,-0.13748854367427904,0.025207325393709026,265
SDF2,-0.0009157132700018586,0.9881628057114693,265
CCNE1,-0.045786308368592925,0.45795828975034847,265
HSF2BP,-0.024169993814299056,0.69531222749066,265
BBC3,0.02481647448555037,0.6875845650481647,265
MYBPC3,-0.08743094879592746,0.15582213233076542,265
PSMC3,0.0011359358627523056,0.9853163324329045,265
ACP2,0.047928883959847284,0.4371681893308862,265
RAPSN,-0.09813576589594918,0.11097366159818402,265
SLC39A13,-0.024379576076799483,0.692803504230582,265
CELF2,-0.04158789199933441,0.5002520742349204,265
NR1H3,-0.03872983480732861,0.5301800508532757,265
DDB2,-0.011934581329524224,0.8466696934330434,265
SPI1,0.028906875381058673,0.6394676467551599,265
SF3A1,0.045893356539593144,0.4569066487492386,265
STAT6,0.039622655245580424,0.5207347470490955,265
CLGN,-0.0759264947559041,0.21797525097690798,265
NAPSA,-0.017226372240534964,0.7801526600436673,265
VRK3,-0.08264215531491774,0.17983846453638339,265
SMG9,-0.010728999668771777,0.8619952754157874,265
PAXIP1,0.02240627846679548,0.7165532506776999,265
RMND5A,-0.0403497444793319,0.5131069222459036,265
MOV10,-0.03680006582107469,0.5508867858079756,265
PPM1J,-0.012364063750525093,0.8412236210309003,265
RHOC,0.07778145899615786,0.20690642428622208,265
PRR27,0.038129784668077385,0.5365763476477408,265
TEAD3,0.06404253560362999,0.29895579956856005,265
PPARD,0.0517797162076051,0.4011936333227719,265
DEF6,0.014249981678778922,0.8174017936789493,265
PEG3,-0.030370082007561642,0.6226023051913988,265
METRN,0.009121664932518512,0.882507655283322,265
LMF1,-0.06547188663388288,0.2882781184154259,265
CIAO3,0.08422562991667094,0.1716119379338568,265
ANGPTL4,0.006999402699014207,0.9097096525428228,265
DBF4,-0.03506601442457117,0.5698246919475924,265
DAXX,0.048667258392348776,0.43013067459128373,265
CD320,0.021586328169043812,0.7265041316697427,265
IPO4,-0.05059315816760269,0.41208555622441845,265
REC8,0.04849217659459843,0.4317934537981779,265
IRF9,-0.0731184148726484,0.2355262391025909,265
GMPR2,-0.02649023067730376,0.6677292739995082,265
DHRS1,0.04990508347810129,0.418480768336163,265
NCAN,0.040243341176831676,0.5142195635497933,265
TMEM161A,0.048395446319598225,0.43271370234193784,265
ARMC6,0.014108110608778635,0.8191882951831662,265
BORCS8,0.08651168874917559,0.16023401884631056,265
SLC25A42,0.01919064169153895,0.7558364621064716,265
SNX9,-0.005402386729675467,0.9302507275210721,265
RANBP3,-0.017219601121284952,0.7802368676597886,265
NDUFA11,-0.008325252335016898,0.8927012462077719,265
NR2F6,-0.0263615794115535,0.6692474678131293,265
USE1,-0.09181540972743635,0.13603200042345642,265
OCEL1,-0.026853936511304508,0.6634445622028671,265
DYRK1B,-0.01436218879777915,0.815989500527722,265
BRAF,-0.08609574856667475,0.1622608585089658,265
NDUFB2,0.024559494388299845,0.6906525295045636,265
HLTF,0.011429649294023198,0.8530818149806172,265
PRPF6,0.04995699539235139,0.41799626395078915,265
RGS19,0.05453298226836068,0.3765913673418375,265
RGS20,-0.06654720485763506,0.2804157448152508,265
ABHD3,-0.05141730011060435,0.40450203446983923,265
SNRPD1,0.11638747905148623,0.058473708377724455,265
TIAM1,-0.034650396676320326,0.5744091790875909,265
TSC2,0.031213892439813352,0.6129643398411218,265
SLC9A3R2,0.010734158616771787,0.8619295794417174,265
PUF60,0.0036083616917573238,0.9533803239943924,265
UCK1,-0.08413244641842076,0.1720881562766322,265
SCIN,0.041735566885834706,0.4987302843222745,265
IKZF4,-0.052045724463855636,0.39877562605934835,265
MIEN1,0.09276723563343829,0.13200245000108635,265
PON1,0.051529184795354586,0.40347894125353234,265
AXL,0.011965212583274284,0.8462810278842329,265
TGFB1,-0.07012429042714233,0.2553104031039274,265
CCDC97,-0.05086593754310324,0.40956628433329023,265
AKAP8L,-0.19440721695839458,0.0014719612939050248,265
SHH,-0.021827831422294303,0.7235684007377099,265
PDCD2L,-0.06261479674462708,0.3098802436816515,265
GTF2F1,-0.06888517560438981,0.26382494485812535,265
